ID;Gown;Weight;Reusable;Woven;Type;Longevity;Price;Comfort;Hygiene;Local FTE;Local FTE-Extra;Production-Cost;Production-CO2;Production-Energy;Production-Water;Production-Recipe;Production-Raw-Cost;Production-Raw-CO2;Production-Raw-Energy;Production-Raw-Water;Production-Raw-Recipe;Production-Advanced-Cost;Production-Advanced-CO2;Production-Advanced-Energy;Production-Advanced-Water;Production-Advanced-Recipe;Production-Transport-Cost;Production-Transport-CO2;Production-Transport-Energy;Production-Transport-Water;Production-Transport-Recipe;Use-Cost;Use-CO2;Use-Energy;Use-Water;Use-Recipe;LOST-Cost;LOST-CO2;LOST-Energy;LOST-Water;LOST-Recipe;EOL-Cost;EOL-CO2;EOL-Energy;EOL-Water;EOL-Recipe
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
